ktrans,ve,vp,fp,slice,b1,t10,ps,tp
0.05,0.3,0.170940171,2,3,100,1000,0.051282051,5
0.1,0.3,0.175438596,2,3,100,1000,0.105263158,5
0.2,0.3,0.185185185,2,3,100,1000,0.222222222,5
0.35,0.3,0.202020202,2,3,100,1000,0.424242424,5
0.05,0.4,0.170940171,2,3,100,1000,0.051282051,5
0.1,0.4,0.175438596,2,3,100,1000,0.105263158,5
0.2,0.4,0.185185185,2,3,100,1000,0.222222222,5
0.35,0.4,0.202020202,2,3,100,1000,0.424242424,5
0.05,0.2,0.009259259,0.5,4,100,800,0.055555556,0.999999972
0.1,0.2,0.010416667,0.5,4,110,1000,0.125,1.000000032
0.2,0.2,0.013888889,0.5,4,90,1000,0.333333333,1.000000008
0.35,0.2,0.027777778,0.5,4,110,800,1.166666667,1.000000008
0.05,0.3,0.009259259,0.5,4,100,800,0.055555556,1
0.1,0.3,0.010416667,0.5,4,110,1000,0.125,1
0.2,0.3,0.013888889,0.5,4,90,1000,0.333333333,1
0.35,0.3,0.027777778,0.5,4,110,800,1.166666667,1
0.05,0.4,0.009259259,0.5,4,100,800,0.055555556,1
0.1,0.4,0.010416667,0.5,4,110,1000,0.125,1
0.2,0.4,0.013888889,0.5,4,90,1000,0.333333333,1
0.35,0.4,0.027777778,0.5,4,110,800,1.166666667,1
0.05,0.2,0.01754386,1,4,100,800,0.052631579,1
0.1,0.2,0.018518519,1,4,110,1000,0.111111111,1
0.2,0.2,0.020833333,1,4,90,1000,0.25,1
0.35,0.2,0.025641026,1,4,110,800,0.538461538,1
0.05,0.3,0.01754386,1,4,100,800,0.052631579,1
0.1,0.3,0.018518519,1,4,110,1000,0.111111111,1
0.2,0.3,0.020833333,1,4,90,1000,0.25,1
0.35,0.3,0.025641026,1,4,110,800,0.538461538,1
0.05,0.4,0.01754386,1,4,100,800,0.052631579,1
0.1,0.4,0.018518519,1,4,110,1000,0.111111111,1
0.2,0.4,0.020833333,1,4,90,1000,0.25,1
0.35,0.4,0.025641026,1,4,110,800,0.538461538,1
0.05,0.2,0.034188034,2,4,100,800,0.051282051,1
0.1,0.2,0.035087719,2,4,110,1000,0.105263158,1
0.2,0.2,0.037037037,2,4,90,1000,0.222222222,1
0.35,0.2,0.04040404,2,4,110,800,0.424242424,1
0.05,0.3,0.034188034,2,4,100,800,0.051282051,1
0.1,0.3,0.035087719,2,4,110,1000,0.105263158,1
0.2,0.3,0.037037037,2,4,90,1000,0.222222222,1
0.35,0.3,0.04040404,2,4,110,800,0.424242424,1
